0)	1	 1
1)	0	 0
2)	1	 1
3)	0	 0
4)	0	 0
5)	0	 0
6)	0	 0
7)	0	 0
8)	0	 0
9)	1	 1
10)	0	 0
11)	0	 0
12)	1	 1
13)	0	 0
14)	0	 0
15)	0	 0
16)	1	 1
17)	0	 0
18)	1	 1
19)	0	 0
20)	0	 0
21)	0	 0
22)	0	 0
23)	0	 0
24)	0	 0
25)	0	 0
26)	0	 0
27)	0	 0
28)	1	 1
29)	0	 0
30)	0	 0
31)	1	 1
32)	1	 1
33)	0	 0
34)	0	 0
35)	1	 1
36)	0	 0
37)	0	 0
38)	0	 0
39)	0	 0
40)	0	 0
41)	0	 0
42)	0	 0
43)	0	 0
44)	1	 1
45)	0	 0
46)	0	 0
47)	0	 0
48)	0	 0
49)	0	 0
50)	1	 1
51)	0	 0
52)	0	 0
53)	0	 0
54)	0	 0
55)	1	 1
56)	1	 1
57)	1	 1
58)	0	 0
59)	0	 0
60)	0	 0
61)	0	 0
62)	0	 0
63)	0	 0
64)	0	 0
65)	0	 0
66)	0	 0
67)	0	 0
68)	1	 1
69)	0	 0
70)	0	 0
71)	0	 0
72)	0	 0
73)	0	 0
74)	0	 0
75)	0	 0
76)	0	 0
77)	0	 0
78)	0	 0
79)	0	 0
80)	0	 0
81)	0	 0
82)	0	 0
83)	0	 0
84)	0	 0
85)	0	 0
86)	0	 0
87)	0	 0
88)	0	 0
89)	1	 1
90)	0	 0
91)	0	 0
92)	0	 0
93)	0	 0
94)	0	 0
95)	1	 1
96)	0	 0
97)	1	 1
98)	0	 0
99)	0	 0
100)	1	 1
101)	0	 0
102)	0	 0
103)	0	 0
104)	0	 0
105)	1	 1
106)	0	 0
107)	1	 1
108)	1	 1
109)	0	 0
110)	0	 0
111)	0	 0
112)	0	 0
113)	0	 0
114)	0	 0
115)	0	 0
116)	0	 0
117)	1	 1
118)	1	 1
119)	0	 0
120)	0	 0
121)	0	 0
122)	1	 1
123)	1	 0
124)	0	 0
125)	0	 0
126)	0	 0
127)	0	 1
128)	1	 1
129)	0	 0
130)	1	 1
131)	1	 1
132)	0	 0
133)	0	 0
134)	1	 1
135)	1	 1
136)	0	 0
137)	0	 0
138)	0	 0
139)	1	 1
140)	1	 1
141)	1	 1
142)	0	 0
143)	0	 0
144)	0	 0
145)	1	 1
146)	0	 0
147)	1	 1
148)	0	 0
149)	0	 0
150)	0	 0
151)	0	 0
152)	0	 0
153)	0	 0
154)	1	 1
155)	0	 0
156)	0	 0
157)	0	 0
158)	0	 0
159)	1	 1
160)	0	 0
161)	0	 0
162)	0	 0
163)	0	 0
164)	1	 1
165)	0	 0
166)	1	 1
167)	1	 1
168)	1	 1
169)	1	 1
170)	1	 1
171)	0	 0
172)	0	 0
173)	0	 0
174)	0	 0
175)	0	 0
176)	0	 0
177)	1	 1
178)	0	 0
179)	0	 0
180)	1	 1
181)	1	 1
182)	0	 0
183)	1	 1
184)	0	 0
185)	0	 0
186)	0	 0
187)	0	 0
188)	0	 0
189)	0	 0
190)	0	 0
191)	0	 0
192)	0	 0
193)	1	 1
194)	1	 1
195)	1	 1
196)	1	 1
197)	0	 0
198)	0	 0
199)	1	 1
200)	0	 0
201)	0	 0
202)	0	 0
203)	0	 0
204)	0	 0
205)	1	 1
206)	0	 0
207)	1	 1
208)	1	 1
209)	1	 1
210)	0	 0
211)	0	 0
212)	0	 0
213)	0	 0
214)	1	 1
215)	0	 0
216)	0	 0
217)	0	 0
218)	0	 0
219)	1	 1
220)	0	 0
221)	1	 1
222)	0	 0
223)	0	 0
224)	0	 0
225)	0	 0
226)	0	 0
227)	1	 1
228)	0	 0
229)	1	 1
230)	0	 0
231)	0	 0
232)	0	 0
233)	0	 0
234)	0	 0
235)	1	 1
236)	1	 1
237)	0	 0
238)	0	 0
239)	0	 0
240)	1	 1
241)	0	 0
242)	0	 0
243)	0	 0
244)	0	 0
245)	0	 0
246)	0	 0
247)	1	 1
248)	0	 0
249)	0	 0
250)	0	 0
251)	0	 0
252)	0	 0
253)	1	 1
254)	0	 0
255)	1	 1
256)	0	 0
257)	0	 0
258)	1	 1
259)	1	 1
260)	0	 0
261)	0	 0
262)	0	 0
263)	0	 0
264)	0	 0
265)	0	 0
266)	0	 0
267)	0	 0
268)	1	 1
269)	0	 0
270)	0	 0
271)	0	 0
272)	1	 1
273)	0	 0
274)	0	 0
275)	1	 1
276)	0	 0
277)	0	 0
278)	0	 0
279)	0	 0
280)	0	 0
281)	1	 1
282)	0	 0
283)	1	 1
284)	0	 0
285)	0	 0
286)	0	 0
287)	0	 0
288)	1	 1
289)	1	 1
290)	0	 0
291)	0	 0
292)	1	 1
293)	1	 1
294)	0	 0
295)	0	 0
296)	1	 1
297)	0	 0
298)	0	 0
299)	1	 1
300)	0	 0
301)	0	 0
302)	1	 1
303)	0	 0
304)	1	 1
305)	0	 0
306)	1	 1
307)	0	 0
308)	1	 1
309)	0	 0
310)	1	 1
311)	0	 0
312)	0	 0
313)	0	 0
314)	1	 1
315)	0	 0
316)	0	 0
317)	0	 0
318)	0	 0
319)	0	 0
320)	0	 0
321)	0	 0
322)	0	 0
323)	0	 0
324)	1	 1
325)	0	 0
326)	0	 0
327)	0	 0
328)	0	 0
329)	0	 0
330)	0	 0
331)	0	 0
332)	1	 1
333)	0	 0
334)	1	 1
335)	0	 0
336)	0	 0
337)	1	 1
338)	0	 0
339)	0	 0
340)	0	 0
341)	0	 0
